MOSTORP,60295706,417,Bookcases & shelving units,        Wall shelf/          160x27 cm,"602.957.06 With a media shelf you can make the most of the wall area, while freeing up space on the floor.Different wall materials require different types of fixing devices. Use fixing devices suitable for the walls in your home, sold separately.",27,160
EDVALLA,40347886,25,Bookcases & shelving units,        Drop handle/          18 mm,Francis Cayouette,,33
BILLY / BOTTNA,99277122,140,Bookcases & shelving units,        Bookcase with display shelf/          40x28x106 cm,K Hagberg/M Hagberg/Gillis Lundgren,106,40
MORLIDEN,10279860,200,Bookcases & shelving units,        Glass door/          40x192 cm,IKEA of Sweden,192,40
BROR,50343147,15,Bookcases & shelving units,        Hook for post/          7x5x3 cm 2 pack,IKEA of Sweden,7,3
ENETRI,49227605,412,Bookcases & shelving units,        Shelving unit/          170x158 cm,Niels Gammelgaard,158,170
GUBBARP,80336433,3,Bookcases & shelving units,        Knob/          21 mm,H Preutz/A Fredriksson,,
BILLY / GNEDBY,99020476,940,Bookcases & shelving units,        Bookcase/          200x28x202 cm,IKEA of Sweden/Gillis Lundgren,202,200
FIXA,90323393,5.6,Bookcases & shelving units,        Drill template,903.233.93 Drill template for marking the hole location of knobs or handles makes it easier for you to place them correctly.The strip on the drill template is put against the edge of the door or drawer front; helps you to place the handle perfectly straight vertically or horizontally.,,64
HEDRA,50046152,9,Bookcases & shelving units,        Knob/          32 mm,IKEA of Sweden,,
BAGGANÄS,338412,27,Bookcases & shelving units,        Knob/          21 mm,H Preutz/A Fredriksson,,21
ÖSTERNÄS,20348896,49,Bookcases & shelving units,        Leather handle/          65 mm,H Preutz/A Fredriksson,,25
SKUBB,90294989,49,Bookcases & shelving units,        Storage case/          69x55x19 cm,IKEA of Sweden,19,69
SKÅDIS,335885,6,Bookcases & shelving units,        Connector for ALGOT,Eva Lilja Löwenhielm,4,5
HAVSTA,70391038,695,Bookcases & shelving units,        Shelving unit with plinth/          61x37x212 cm,IKEA of Sweden,212,61
NANNARP,10293597,40,Bookcases & shelving units,        Leg,Carl Öjerstam,100,100
ENERYDA,40347508,22,Bookcases & shelving units,        Knob/          27 mm,Francis Cayouette,,
BILLY / MORLIDEN,69287373,315,Bookcases & shelving units,        Bookcase with glass door/          40x30x106 cm,IKEA of Sweden/Gillis Lundgren,106,40
BESTÅ BURS,30269129,1195,Bookcases & shelving units,        TV bench/          180x41x49 cm,Mikael Warnhammar,49,180
STUBBARP,60293566,35,Bookcases & shelving units,        Leg,IKEA of Sweden,100,44
BILLSBRO,60334312,35,Bookcases & shelving units,        Handle/          320 mm,H Preutz/A Fredriksson,,
SELSVIKEN,296351,60,Bookcases & shelving units,        Drawer front/          60x26 cm,IKEA of Sweden,26,60
